
[00:00:00.000 --> 00:00:29.980]   The End of the Day
[00:00:29.980 --> 00:00:59.960]   The End of the Day
[00:00:59.960 --> 00:01:29.940]   The End of the Day
[00:01:29.940 --> 00:01:59.920]   The End of the Day
[00:01:59.920 --> 00:02:29.900]   The End of the Day
[00:02:29.900 --> 00:02:59.880]   The End of the Day
[00:02:59.880 --> 00:03:04.600]   Good morning, church family. Happy Lord's Day. We will now begin our service.
[00:03:29.860 --> 00:03:59.840]   The End of the Day
[00:03:59.840 --> 00:04:29.820]   The End of the Day
[00:04:29.820 --> 00:04:59.800]   The End of the Day
[00:04:59.800 --> 00:05:29.780]   The End of the Day
[00:05:29.780 --> 00:05:59.760]   The End of the Day
[00:05:59.760 --> 00:06:29.740]   The End of the Day
[00:06:29.740 --> 00:06:33.900]   Good morning, everyone. First of all, I want to welcome our returning students
[00:06:33.900 --> 00:06:39.520]   and our first-time visiting students. If you're here for the first time, I just want to extend
[00:06:39.520 --> 00:06:45.200]   the warm welcome to you. I'm Pastor Sung. I oversee the college ministry here at Burian Community Church.
[00:06:45.740 --> 00:06:51.340]   and I have a few announcements. We have a very packed event this coming week.
[00:06:51.340 --> 00:06:58.780]   So starting Tuesday, September 23rd, we're going to have our boba night, and then following that,
[00:06:58.780 --> 00:07:05.100]   we have pizza and ice cream night on Thursday, and then followed by making wise decisions seminar,
[00:07:05.100 --> 00:07:11.900]   and then Saturday, we have our barbecue. This is a good time for you to come and join us,
[00:07:11.900 --> 00:07:18.940]   meet our students, our staff members. We're going to have some testimonies that are shared by our
[00:07:18.940 --> 00:07:25.900]   collegians. We're going to have some activities. Also, we have a welcome lunch that is scheduled
[00:07:25.900 --> 00:07:31.500]   for October 5th. That's scheduled at 1 p.m. So if you have questions about our college ministry,
[00:07:31.500 --> 00:07:39.180]   you have questions about our church beliefs and our vision, that's a good time to come to meet with our
[00:07:39.180 --> 00:07:46.700]   staff, our college student leaders, and then myself. So I want to invite you to come, join us for that.
[00:07:46.700 --> 00:07:51.500]   We have a red canopy outside in the courtyard, so following service, if you have any questions about
[00:07:51.500 --> 00:07:56.940]   that or if you want to sign up for that lunch, please come and visit us there. I want to, you know,
[00:07:56.940 --> 00:08:01.500]   meet with you. So please come out to the courtyard if you have any questions about the college ministry.
[00:08:01.500 --> 00:08:06.860]   Thank you.
[00:08:06.860 --> 00:08:13.100]   Again, just a reminder, the college canopy is the red one. As you go outside,
[00:08:13.100 --> 00:08:18.140]   you'll see a red canopy. So please visit that after service if you're a college student or if you brought
[00:08:18.140 --> 00:08:25.420]   a college student to church. Next Sunday, we have a new newcomer welcome lunch. So this is for people
[00:08:25.420 --> 00:08:29.340]   who are visiting the church and you want to find out more about the church or meet some of the leaders and
[00:08:29.980 --> 00:08:35.100]   find out about the history and what we believe. And so that lunch is for you. There is a separate
[00:08:35.100 --> 00:08:39.820]   one for the college students. That's coming up, I think, a week after that, right? But if you are
[00:08:39.820 --> 00:08:44.300]   interested in coming to that, please sign up at our welcome table and let them know that you'll be able
[00:08:44.300 --> 00:08:49.980]   to come so that they can prepare lunch for you. And then our next membership class, that's starting
[00:08:49.980 --> 00:08:55.740]   in October 5th. Okay, that's starting at 9:30 at the Youth Chapel. So this is an eight-week course if you
[00:08:55.740 --> 00:09:00.620]   want to be a member of the church. And again, we go over the church doctrines, our ministry philosophy,
[00:09:00.620 --> 00:09:05.740]   why do we preach a certain way, what doctrines that we hold on to, what does it mean to be a member of
[00:09:05.740 --> 00:09:10.940]   the church. All of that stuff is covered in this membership class. And it happens during this service
[00:09:10.940 --> 00:09:14.860]   at 9:30. So meaning you'd have to come to either first or third service to attend this. So that's
[00:09:14.860 --> 00:09:19.900]   starting on October 5th. So you can sign up for that as well. And then lastly, for the members,
[00:09:19.900 --> 00:09:27.180]   October 12th at 2:00 p.m., we have our members' members' meeting. And so again, if you can't come,
[00:09:27.180 --> 00:09:33.020]   please let us know ahead of time. It's going to be happening at 2:00 p.m. There will be a fundraiser lunch
[00:09:33.020 --> 00:09:39.100]   from our Taiwan mission team. So just keep that in mind as well. And there will be a service fair that's
[00:09:39.100 --> 00:09:43.020]   happening. In other words, all the different service teams that are functioning in the church,
[00:09:43.020 --> 00:09:48.140]   they'll be set up so you can go and visit. Some of it is for information, some of it is to recruit.
[00:09:48.140 --> 00:09:52.780]   And so if you're a member of the church, please plan to stick around a little bit after our members'
[00:09:52.780 --> 00:09:58.380]   meeting. And so you'll get to know what's going on at church, okay? I think that's it for now. So after
[00:09:58.380 --> 00:10:03.260]   our main pray set, our brother Josiah is going to come up, give his testimony, and he'll be baptized
[00:10:03.260 --> 00:10:07.260]   this morning. So let me pray for the offering. And again, if you did have a physical offering,
[00:10:07.260 --> 00:10:11.900]   we have an offering box in the back that you can visit on your way out after service. All right, let's pray.
[00:10:11.900 --> 00:10:23.340]   Father, we come before you desiring to worship you, to focus our full attention, Lord God,
[00:10:23.340 --> 00:10:30.940]   on who you are and what you've given. We pray that you would lift us up, that we may see Christ and know
[00:10:30.940 --> 00:10:36.540]   where our help ultimately comes from. Help us, Lord God, that whatever it is that we have been entangled
[00:10:36.540 --> 00:10:43.020]   with, that our time of corporate worship would help us, Lord, to recalibrate who we are, what we think,
[00:10:43.020 --> 00:10:47.820]   and what we do. I pray that you would bless this morning and bless the offering that we give.
[00:10:48.620 --> 00:10:54.300]   And may it be used wisely for the purpose of your kingdom and may it be multiplied through your
[00:10:54.300 --> 00:10:56.380]   blessing. In Jesus' name we pray. Amen.
[00:10:56.380 --> 00:11:04.140]   Amen.
[00:11:04.140 --> 00:11:06.140]   Amen.
[00:11:06.140 --> 00:11:13.900]   Amen.
[00:11:13.900 --> 00:11:38.220]   Let us all rise and let's spend a few moments to greet the neighbors around us before we continue.
[00:11:38.220 --> 00:11:47.980]   Amen.
[00:11:47.980 --> 00:11:47.980]   Amen.
[00:11:47.980 --> 00:12:17.960]   Thank you.
[00:12:17.960 --> 00:12:47.940]   Thank you.
